ide;Codigo;Resumen;Ascendente;Familia;Cantidad;Unidad;DataDeteccio;DataAlta;DataBaixa;PKinicialkmm;PKfinalkmm;Utmx;Utmy;ElementreferenciaText;Calzada;LongitudAm;ParetslateralsAm2;VoltaAm2;Revestimentfuncionalenparetslaterals_Am2;Laminaimpermeabilitzantenvolta_Am2;GalibA;Longitud_Bm;ParetslateralsBm2;VoltaBm2;RevestimentfuncionalenparetslateralsBm2;LaminaimpermeabilitzantenvoltaBm2;GalibB;Longitudm;Paretslateralsm2;voltam2;TipusSeparacio;Revestimentfuncionalenparetslateralsm2;Laminaimpermeabilitzantenvoltam2;Galibm;Centredecontroldelfuncionamentdelesinstal·lacions;Enllumenat;Ventilacio;Seguretat,regulacioicontroldetransit;TVencircuittancat;Nd'extintors;Palsd'auxili;Instal·laciosemaforica;Senyalsdemissatgevariable;Controldegalib
1036;B20_TAL;Túnel ALMANSA;B20;EST-TUN;0;0;20081201;20081201;0;13+910;14+403;430883.743;4588359.321;;LLOBREGAT-BESÒS;497;7639.5;7438.66;0;0;5.68;496.85;6969.08;6949.48;0;0;5.47;496.25;14608.58;14388.14;;;;5.47;Si;Si;Si;No;Si;;Si;Si;Si;No
1037;B20_TBO;Túnel BORRÀS;B20;EST-TUN;0;0;20000905;20000905;0;7+206;7+705;426273.132;4584043.5;;LLOBREGAT-BESÒS;529;5709.84;7039.53;0;0;4.84;528.4;5477.42;6265.88;0;0;4.79;528.7;11187.26;13305.41;Pilars - Pilares sobre murete;;;4.79;Si;Si;Si;Si;Si;;Si;Si;Si;No
1038;B10_TBP;Túnel BON PASTOR;B10;EST-TUN;0;0;20081201;20081201;0;1+370;1+735;433901.678;4587645.787;;LLOBREGAT-BESÒS;360.25;3818.56;4388.65;0;0;5.06;341.8;3668.52;4164.62;0;0;5.06;351.03;7487.08;8553.27;Pilars - Pilares sobre murete;;;5.06;Si;Si;No;Si;No;;Si;Si;Si;No
1039;B10_TBV;Túnel BARÓ DE VIVER;B10;EST-TUN;0;0;20081201;20081201;0;0+139;0+312;433376.639;4588752.458;;LLOBREGAT-BESÒS;173.7;1906.74;2088.11;0;0;5.4;172.8;0;2079.51;0;0;5.13;173.25;1906.74;4167.62;Pilars - Pilares sobre murete;;;5.13;Si;Si;No;Si;No;;Si;Si;Si;No
1040;B20_TCÇ;Túnel CAÇADORS;B20;EST-TUN;0;0;20081201;20081201;0;13+514;13+728;430374.687;4588109.489;;LLOBREGAT-BESÒS;218;2461.22;3182.8;0;0;5.62;209.45;2272.04;3154;0;0;5.03;213.73;4733.26;6336.8;Pilars - Pilares sobre murete;;;5.03;Si;Si;Si;No;Si;;Si;Si;No;No
1041;C32_TCCL;Túnel CAN CLOTA;C32;EST-TUN;0;0;20021004;20021004;0;61+790;61+973;424251.1;4580598.345;;LLOBREGAT-BESÒS;180.6;1864.74;3386.243;0;0;5.14;184.1;1902.2;3577.54;0;0;5.13;182.35;3766.94;6963.78;Pilars - Pilares sobre murete;;;5.13;Si;Si;No;No;No;;No;No;No;No
1042;B10_TCE-A;Túnel FÓRUM CARRIL EXPRES A;B10-C_ExLL;EST-TUN;0;0;20081201;20081201;0;5+090;5+460;434956.782;4584684.664;;LLOBREGAT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;Si;Si;Si;Si;Si;;Si;Si;Si;No
1043;B10_TFO;Túnel FÒRUM;B10;EST-TUN;0;0;20081201;20081201;0;5+077;5+482;434970.326;4584640.867;;LLOBREGAT-BESÒS;394.9;2895.55;4110.28;0;0;4.77;431.2;2865.55;4368.95;0;0;4.73;412.975;5761.1;4239;Cap - Ninguna;;;4.73;Si;Si;Si;Si;Si;;Si;Si;Si;No
1044;B10_TCE-B;Túnel FÓRUM CARRIL EXPRES B;B10-C_ExB;EST-TUN;0;0;20081201;20081201;0;0+002;0+225;435050.321;4584732.985;;BESÒS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;Si;Si;No;Si;Si;;Si;Si;Si;No
1045;B10_TCOL;Túnel COLOM;B10;EST-TUN;0;0;20081201;20081201;0;10+917;11+361;431225.397;4580632.04;;LLOBREGAT-BESÒS;490.05;5214.34;6079.8;0;0;4.83;426.1;4195.9;4933.11;0;0;4.79;458.08;9410.24;11012.9;Mur - Muro;;;4.79;Si;Si;Si;Si;Si;;Si;Si;Si;No
